통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","비금속광물제품","명/십억원","원자료","0.006042","0.006512","0.00527","0.004029"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","1차 금속제품","명/십억원","원자료","0.005792","0.005834","0.005036","0.004645"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금속가공제품","명/십억원","원자료","0.030416","0.026985","0.023042","0.02249"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","컴퓨터, 전자 및 광학기기","명/십억원","원자료","0.014253","0.012044","0.010761","0.012259"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전기장비","명/십억원","원자료","0.016961","0.016584","0.015904","0.015457"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기계 및 장비","명/십억원","원자료","0.011257","0.011463","0.010667","0.008621"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송장비","명/십억원","원자료","0.015932","0.015877","0.013023","0.011437"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 제조업 제품","명/십억원","원자료","0.015534","0.012725","0.011801","0.014224"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","제조임가공 및 산업용 장비 수리","명/십억원","원자료","0.471936","0.503403","0.463101","0.469285"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전력, 가스 및 증기","명/십억원","원자료","0.023561","0.024755","0.021796","0.023857"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","수도, 폐기물처리 및 재활용서비스","명/십억원","원자료","0.065831","0.099149","0.061757","0.048682"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","건설","명/십억원","원자료","0.018752","0.020203","0.01466","0.012339"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","도소매 및 상품중개서비스","명/십억원","원자료","1.233911","1.151034","0.987814","0.922963"
