통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","정보통신 및 방송 서비스","","원자료","0.001134","0.001479","0.002121","0.002148"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","금융 및 보험 서비스","","원자료","0.000653","0.000655","0.000567","0.001021"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","부동산서비스","","원자료","0.000109","0.000085","0.000097","0.000119"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","전문, 과학 및 기술 서비스","","원자료","0.005198","0.004844","0.005475","0.006806"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","사업지원서비스","","원자료","0.004304","0.004585","0.004502","0.005144"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","공공행정, 국방 및 사회보장","","원자료","0.000604","0.000457","0.000455","0.000483"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","교육서비스","","원자료","0.000001","0.000001","0.000001","0.000001"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","보건 및 사회복지 서비스","","원자료","0","0.000001","0.000001","0.000002"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.000047","0.000037","0.000086","0.000062"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","기타 서비스","","원자료","0.000272","0.000588","0.000382","0.000361"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","기타","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","열합","","원자료","0.236751","0.265404","0.318587","0.287834"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","농림수산품","","원자료","0.006939","0.00506","0.006658","0.004894"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","광산품","","원자료","0.022136","0.03217","0.046416","0.036454"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식료품","","원자료","0.010074","0.01229","0.031885","0.021931"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","섬유 및 가죽제품","","원자료","0.177485","0.199556","0.204613","0.207542"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","목재 및 종이, 인쇄","","원자료","0.005375","0.005205","0.005393","0.004612"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","석탄 및 석유제품","","원자료","0.009919","0.014539","0.0158","0.014029"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","화학제품","","원자료","0.039803","0.042446","0.043352","0.043309"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","비금속광물제품","","원자료","0.000738","0.000824","0.000856","0.000707"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","1차 금속제품","","원자료","0.002516","0.003555","0.003388","0.002741"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금속가공제품","","원자료","0.004366","0.003747","0.003056","0.002986"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","컴퓨터, 전자 및 광학기기","","원자료","0.00361","0.003876","0.003803","0.003935"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전기장비","","원자료","0.001287","0.001724","0.001971","0.002012"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기계 및 장비","","원자료","0.001823","0.002213","0.001777","0.001645"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송장비","","원자료","0.000999","0.000973","0.001389","0.001743"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 제조업 제품","","원자료","0.006171","0.005979","0.006708","0.00548"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","제조임가공 및 산업용 장비 수리","","원자료","0.083876","0.077378","0.084182","0.09047"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전력, 가스 및 증기","","원자료","0.000003","0.000001","0.000002","0.000002"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","수도, 폐기물처리 및 재활용서비스","","원자료","0.000006","0.000001","0.00001","0.000028"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","건설","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","도소매 및 상품중개서비스","","원자료","0.003588","0.003637","0.003998","0.003555"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송서비스","","원자료","0.006077","0.006041","0.006644","0.007269"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식점 및 숙박서비스","","원자료","0.001341","0.002143","0.002163","0.001093"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","정보통신 및 방송 서비스","","원자료","0.001106","0.001534","0.002031","0.001967"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금융 및 보험 서비스","","원자료","0.00065","0.000652","0.000528","0.000959"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","부동산서비스","","원자료","0.000122","0.000097","0.000107","0.000125"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전문, 과학 및 기술 서비스","","원자료","0.005156","0.004775","0.005183","0.006201"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","사업지원서비스","","원자료","0.004611","0.004922","0.004652","0.005197"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","공공행정, 국방 및 사회보장","","원자료","0.00009","0.000058","0.000071","0.000129"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","교육서비스","","원자료","0.000001","0.000001","0.000001","0.000001"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","보건 및 사회복지 서비스","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.000047","0.00004","0.000081","0.000058"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 서비스","","원자료","0.000228","0.000502","0.000319","0.00029"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","열합","","원자료","0.400141","0.435936","0.487036","0.471364"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","농림수산품","","원자료","0.012708","0.014614","0.013543","0.010161"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","광산품","","원자료","0.036722","0.047262","0.071603","0.060281"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식료품","","원자료","0.002896","0.003058","0.004028","0.003657"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","섬유 및 가죽제품","","원자료","0.009856","0.008105","0.008532","0.006965"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","목재 및 종이, 인쇄","","원자료","0.110417","0.121568","0.135646","0.114569"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","석탄 및 석유제품","","원자료","0.010528","0.015499","0.016637","0.014922"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","화학제품","","원자료","0.023531","0.025516","0.028706","0.027135"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","비금속광물제품","","원자료","0.000706","0.00073","0.000754","0.00064"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","1차 금속제품","","원자료","0.003574","0.004941","0.004806","0.004046"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","금속가공제품","","원자료","0.001391","0.001439","0.001478","0.001483"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","컴퓨터, 전자 및 광학기기","","원자료","0.005252","0.005128","0.005126","0.00574"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전기장비","","원자료","0.0018","0.002198","0.002602","0.002768"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기계 및 장비","","원자료","0.001975","0.002157","0.001928","0.001838"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송장비","","원자료","0.00125","0.001112","0.001577","0.002029"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기타 제조업 제품","","원자료","0.000427","0.000455","0.000485","0.000393"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","제조임가공 및 산업용 장비 수리","","원자료","0.002792","0.002482","0.002806","0.002356"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전력, 가스 및 증기","","원자료","0.000003","0.000002","0.000003","0.000003"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","수도, 폐기물처리 및 재활용서비스","","원자료","0.000006","0.000001","0.00001","0.000027"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","건설","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","도소매 및 상품중개서비스","","원자료","0.001644","0.001763","0.00199","0.001667"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송서비스","","원자료","0.007361","0.006811","0.00727","0.008131"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식점 및 숙박서비스","","원자료","0.001733","0.00276","0.002822","0.001422"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","정보통신 및 방송 서비스","","원자료","0.001483","0.001966","0.002685","0.002687"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","금융 및 보험 서비스","","원자료","0.000811","0.000781","0.000671","0.001187"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","부동산서비스","","원자료","0.000108","0.000084","0.000095","0.000113"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전문, 과학 및 기술 서비스","","원자료","0.005547","0.005073","0.005629","0.006773"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","사업지원서비스","","원자료","0.005833","0.005817","0.005514","0.006265"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","공공행정, 국방 및 사회보장","","원자료","0.000125","0.000075","0.00009","0.000159"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","교육서비스","","원자료","0.000001","0.000001","0.000001","0.000001"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","보건 및 사회복지 서비스","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","예술, 스포츠 및 여가 관련 서비스","","원자료","0.000058","0.000048","0.000104","0.000076"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기타 서비스","","원자료","0.000305","0.000654","0.000424","0.000392"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기타","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","열합","","원자료","0.250844","0.282098","0.327563","0.287886"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","석탄 및 석유제품","농림수산품","","원자료","0.00033","0.000255","0.0003","0.000248"
