통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","건설","","원자료","0.014423","0.016056","0.011526","0.008199"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","도소매 및 상품중개서비스","","원자료","0.050904","0.054611","0.0526","0.048815"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","운송서비스","","원자료","0.190156","0.194673","0.196143","0.179625"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","음식점 및 숙박서비스","","원자료","0.029566","0.030194","0.034236","0.036339"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","정보통신 및 방송 서비스","","원자료","0.023273","0.022616","0.023004","0.020971"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","금융 및 보험 서비스","","원자료","0.041266","0.039563","0.035683","0.029359"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","부동산서비스","","원자료","0.014319","0.014103","0.012775","0.012462"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","전문, 과학 및 기술 서비스","","원자료","0.079524","0.077586","0.077918","0.084813"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","사업지원서비스","","원자료","0.076569","0.074314","0.074839","0.072601"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","공공행정, 국방 및 사회보장","","원자료","0.002976","0.00331","0.004244","0.003781"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","교육서비스","","원자료","0.000728","0.001194","0.000994","0.0009"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","보건 및 사회복지 서비스","","원자료","0.003692","0.004525","0.004327","0.004012"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.008028","0.00886","0.009869","0.009366"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","기타 서비스","","원자료","0.012345","0.01194","0.011903","0.011452"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","기타","","원자료","0.005103","0.004226","0.004804","0.004133"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","열합","","원자료","2.051993","2.111616","2.150047","2.061052"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","영향력계수","","원자료","1.090049","1.117077","1.131495","1.089739"
